x,y,var_name,loc
3.3306690738754696e-16,-0.0031746031746030523,koga_old,front_axis
1.13768115942029,0.019047619047619202,koga_old,back_axis
-0.33333333333333304,0.025396825396825418,koga_old,front_beginning_of_tire
1.1485507246376814,-0.40952380952380923,koga_old,back_beginning_of_tire
0.24637681159420322,1.0285714285714285,koga_old,handlebar_low
0.10144927536231918,1.1873015873015873,koga_old,handlebar_high
0.7246376811594208,0.9523809523809526,koga_old,saddle_front
0.9963768115942029,0.9968253968253971,koga_old,saddle_back
0.6630434782608698,-0.0698412698412696,koga_old,pedals
-0.0033444816053510573,-0.0030864197530863224,koga_new,front_axis
1.0702341137123743,0.040123456790123746,koga_new,back_axis
-0.3210702341137121,-0.06790123456790098,koga_new,front_beginning_of_tire
1.0836120401337794,-0.38271604938271564,koga_new,back_beginning_of_tire
0.20735785953177266,1.0154320987654322,koga_new,handlebar_low
0.0869565217391306,1.1203703703703705,koga_new,handlebar_high
0.7224080267558528,0.978395061728395,koga_new,saddle_front
0.9966555183946486,0.9938271604938269,koga_new,saddle_back
0.6220735785953173,-0.043209876543209624,koga_new,pedals
0.003759398496240629,0.005988023952096078,hammerbacher,front_axis
1.1954887218045118,0.0658682634730543,hammerbacher,back_axis
-0.3308270676691729,-0.14970059880239484,hammerbacher,front_beginning_of_tire
0.9323308270676695,-0.2754491017964067,hammerbacher,back_beginning_of_tire
0.2556390977443611,1.317365269461078,hammerbacher,handlebar_low
0.2556390977443611,1.317365269461078,hammerbacher,handlebar_high
0.7368421052631583,0.9461077844311376,hammerbacher,saddle_front
0.9962406015037596,0.994011976047904,hammerbacher,saddle_back
0.6954887218045117,-0.04191616766467021,hammerbacher,pedals
